,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson\willizi01,Duke,1,19,565,448,129,41,.589,.462,.645,29.7,23.6,6.8,2.2,1.8,.149,2.4,0.6
2,2,MEM,Ja Morant\moranja01,Murray State,1,59,1771,1041,208,409,.491,.367,.770,30.0,17.6,3.5,6.9,3.4,.093,0.4,1.1
3,3,NYK,RJ Barrett\barrerj01,Duke,1,56,1704,803,279,143,.402,.320,.614,30.4,14.3,5.0,2.6,-0.5,-.015,-4.3,-1.0
4,4,LAL,De'Andre Hunter\huntede01,Virginia,1,63,2018,778,286,112,.410,.355,.764,32.0,12.3,4.5,1.8,0.1,.001,-4.7,-1.4
5,5,CLE,Darius Garland\garlada01,Vanderbilt,1,59,1824,728,111,229,.401,.355,.875,30.9,12.3,1.9,3.9,-1.3,-.035,-5.6,-1.7
6,6,PHO,Jarrett Culver\culveja01,Texas Tech,1,63,1506,580,212,110,.404,.299,.462,23.9,9.2,3.4,1.7,-0.1,-.004,-4.0,-0.8
7,7,CHI,Coby White\whiteco01,UNC,1,65,1674,859,230,175,.394,.354,.791,25.8,13.2,3.5,2.7,0.9,.026,-2.8,-0.3
8,8,ATL,Jaxson Hayes\hayesja02,Texas,1,56,951,420,223,51,.660,.250,.630,17.0,7.5,4.0,0.9,3.5,.176,0.1,0.5
9,9,WAS,Rui Hachimura\hachiru01,Gonzaga,1,41,1217,548,248,70,.478,.274,.829,29.7,13.4,6.0,1.7,1.7,.066,-3.0,-0.3
10,10,ATL,Cam Reddish\reddica01,Duke,1,58,1551,610,216,87,.384,.332,.802,26.7,10.5,3.7,1.5,-0.4,-.011,-4.2,-0.9
11,11,MIN,Cameron Johnson\johnsca02,UNC,1,49,996,398,140,52,.418,.397,.761,20.3,8.1,2.9,1.1,1.8,.086,-0.2,0.5
12,12,CHO,PJ Washington\washipj01,Kentucky,1,58,1759,710,316,123,.455,.374,.647,30.3,12.2,5.4,2.1,2.0,.054,-1.6,0.2
13,13,MIA,Tyler Herro\herroty01,Kentucky,1,47,1280,605,187,91,.414,.391,.835,27.2,12.9,4.0,1.9,0.9,.033,-2.3,-0.1
14,14,BOS,Romeo Langford\langfro01,Indiana,1,27,298,69,32,6,.375,.217,.696,11.0,2.6,1.2,0.2,0.2,.039,-4.6,-0.2
15,15,DET,Sekou Doumbouya\doumbse01,,1,38,754,243,118,19,.390,.286,.674,19.8,6.4,3.1,0.5,-0.3,-.020,-6.7,-0.9
16,16,ORL,Chuma Okeke\okekech01,Auburn,,,,,,,,,,,,,,,,,
17,17,BRK,Nickeil Alexander-Walker\alexani01,Virginia Tech,1,41,501,211,80,74,.339,.342,.607,12.2,5.1,2.0,1.8,-0.4,-.034,-4.9,-0.4
18,18,IND,Goga Bitadze\bitadgo01,,1,49,410,152,96,21,.473,.167,.727,8.4,3.1,2.0,0.4,0.6,.069,-2.5,0.0
19,19,SAS,Luka Šamani?\samanlu01,,1,1,12,0,2,3,.000,.000,,12.0,0.0,2.0,3.0,-0.1,-.252,-11.9,0.0
20,20,BOS,Matisse Thybulle\thybuma01,Washington,1,57,1110,267,86,70,.410,.352,.610,19.5,4.7,1.5,1.2,1.9,.084,0.1,0.6
21,21,OKC,Brandon Clarke\clarkbr01,Gonzaga,1,50,1086,602,292,72,.623,.404,.785,21.7,12.0,5.8,1.4,4.4,.192,3.5,1.5
22,22,BOS,Grant Williams\willigr01,Tennessee,1,62,970,218,165,62,.417,.247,.725,15.6,3.5,2.7,1.0,1.5,.075,-2.6,-0.1
23,23,UTA,Darius Bazley\bazleda01,,1,53,909,238,196,29,.383,.300,.681,17.2,4.5,3.7,0.5,0.4,.019,-2.5,-0.1
24,24,PHI,Ty Jerome\jeromty01,Virginia,1,28,315,98,41,43,.349,.277,.786,11.3,3.5,1.5,1.5,0.0,-.002,-3.8,-0.1
25,25,POR,Nassir Little\littlna01,UNC,1,48,573,172,108,22,.430,.237,.636,11.9,3.6,2.3,0.5,0.6,.050,-3.5,-0.2
26,26,CLE,Dylan Windler\windldy01,Belmont,,,,,,,,,,,,,,,,,
27,27,BRK,Mfiondu Kabengele\kabenmf01,Florida State,1,12,64,42,11,2,.438,.450,1.000,5.3,3.5,0.9,0.2,0.2,.175,2.1,0.1
28,28,GSW,Jordan Poole\poolejo01,Michigan,1,57,1274,503,118,134,.333,.279,.798,22.4,8.8,2.1,2.4,-1.2,-.047,-6.6,-1.5
29,29,SAS,Keldon Johnson\johnske04,Kentucky,1,9,92,41,17,6,.516,.400,.700,10.2,4.6,1.9,0.7,0.2,.119,-0.9,0.0
30,30,MIL,Kevin Porter\porteke02,USC,1,50,1162,498,162,109,.442,.335,.723,23.2,10.0,3.2,2.2,0.3,.011,-3.7,-0.5
31,31,BRK,Nicolas Claxton\claxtni01,Georgia,1,15,187,66,44,16,.563,.143,.524,12.5,4.4,2.9,1.1,0.5,.124,-0.7,0.1
32,32,PHO,KZ Okpala\okpalkz01,Stanford,1,5,26,7,5,1,.600,.000,.500,5.2,1.4,1.0,0.2,0.1,.119,2.7,0.0
33,33,PHI,Carsen Edwards\edwarca01,Purdue,1,35,316,106,43,22,.327,.309,.846,9.0,3.0,1.2,0.6,0.1,.012,-4.9,-0.2
34,34,PHI,Bruno Fernando\fernabr01,Maryland,1,56,713,240,198,49,.518,.135,.569,12.7,4.3,3.5,0.9,0.8,.055,-4.1,-0.4
35,35,ATL,Marcos Louzada Silva\louzama01,,,,,,,,,,,,,,,,,,
36,36,CHO,Cody Martin\martico01,Nevada,1,48,903,238,158,95,.430,.234,.646,18.8,5.0,3.3,2.0,1.0,.052,-2.1,0.0
37,37,DAL,Deividas Sirvydis\sirvyde01,,,,,,,,,,,,,,,,,,
38,38,CHI,Daniel Gafford\gaffoda01,Arkansas,1,43,609,220,106,21,.701,,.533,14.2,5.1,2.5,0.5,1.8,.146,-1.3,0.1
39,39,NOP,Alen Smailagi?\smailal01,,1,14,139,59,27,13,.500,.231,.842,9.9,4.2,1.9,0.9,0.2,.081,-2.1,0.0
40,40,SAC,Justin James\jamesju01,Wyoming,1,34,218,85,30,16,.423,.346,.476,6.4,2.5,0.9,0.5,0.2,.037,-0.7,0.1
41,41,GSW,Eric Paschall\pascher01,Villanova,1,60,1654,837,275,127,.497,.287,.774,27.6,14.0,4.6,2.1,2.1,.062,-2.7,-0.3
42,42,PHI,Admiral Schofield\schofad01,Tennessee,1,27,293,83,34,14,.400,.298,.692,10.9,3.1,1.3,0.5,0.1,.020,-5.3,-0.2
43,43,MIN,Jaylen Nowell\nowelja01,Washington,1,15,151,57,13,19,.358,.115,.941,10.1,3.8,0.9,1.3,0.2,.051,-3.7,-0.1
44,44,MIA,Bol Bol\bolbo01,Oregon,,,,,,,,,,,,,,,,,
45,45,DET,Isaiah Roby\robyis01,Nebraska,1,3,11,0,2,0,.000,,,3.7,0.0,0.7,0.0,0.0,-.191,-15.5,0.0
46,46,ORL,Talen Horton-Tucker\hortota01,Iowa State,1,2,5,0,0,2,.000,.000,,2.5,0.0,0.0,1.0,0.0,.110,7.8,0.0
47,47,SAC,Ignas Brazdeikis\brazdig01,Michigan,1,9,53,17,5,4,.273,.111,.800,5.9,1.9,0.6,0.4,-0.1,-.109,-8.9,-0.1
48,48,LAC,Terance Mann\mannte01,Florida State,1,35,271,56,33,38,.407,.250,.750,7.7,1.6,0.9,1.1,0.3,.057,-3.5,-0.1
49,49,SAS,Quinndary Weatherspoon\weathqu01,Mississippi State,1,3,15,0,1,1,.000,.000,,5.0,0.0,0.3,0.3,-0.1,-.197,-15.1,-0.1
50,50,IND,Jarrell Brantley\brantja01,College of Charleston,1,5,13,0,5,1,,,,2.6,0.0,1.0,0.2,0.0,-.053,-2.7,0.0
51,51,BOS,Tremont Waters\watertr01,LSU,1,10,89,33,9,12,.343,.176,1.000,8.9,3.3,0.9,1.2,-0.1,-.045,-6.5,-0.1
52,52,CHO,Jalen McDaniels\mcdanja01,San Diego State,1,16,293,89,65,13,.471,.375,.824,18.3,5.6,4.1,0.8,0.5,.078,-3.3,-0.1
53,53,UTA,Justin Wright-Foreman\wrighju02,Hofstra,1,1,2,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,.010,-7.0,0.0
54,54,PHI,Marial Shayok\shayoma01,Iowa State,1,2,10,3,3,1,.200,.333,,5.0,1.5,1.5,0.5,0.0,-.227,-11.3,0.0
55,55,NYK,Kyle Guy\guyky01,Virginia,1,2,4,2,0,0,.500,.000,,2.0,1.0,0.0,0.0,0.0,-.022,-4.1,0.0
56,56,LAC,Jaylen Hands\handsja01,UCLA,,,,,,,,,,,,,,,,,
57,57,NOP,Jordan Bone\bonejo01,Tennessee,1,10,53,12,4,8,.250,.200,,5.3,1.2,0.4,0.8,-0.1,-.118,-11.9,-0.1
58,58,GSW,Miye Oni\onimi01,Yale,1,5,11,0,2,0,.000,.000,,2.2,0.0,0.4,0.0,-0.1,-.285,-17.3,0.0
59,59,TOR,Dewan Hernandez\hernade01,Miami (FL),1,4,11,4,7,0,.200,.000,1.000,2.8,1.0,1.8,0.0,0.0,.003,-21.3,-0.1
60,60,SAC,Vanja Marinkovi?\marinva01,,,,,,,,,,,,,,,,,,
