;Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;5;Bam Adebayo;C;21;MIA;82;28;23,3;3,4;5,9;0,576;0;0,2;0,2;3,4;5,7;0,588;0,579;2;2,8;0,735;2;5,3;7,3;2,2;0,9;0,8;1,5;2,5;8,9
2;6;Deng Adel;SF;21;CLE;19;3;10,2;0,6;1,9;0,306;0,3;1,2;0,261;0,3;0,7;0,385;0,389;0,2;0,2;1;0,2;0,8;1;0,3;0,1;0,2;0,3;0,7;1,7
3;9;Rawle Alkins;SG;21;CHI;10;1;12;1,3;3,9;0,333;0,3;1,2;0,25;1;2,7;0,37;0,372;0,8;1,2;0,667;1,1;1,5;2,6;1,3;0,1;0;0,8;0,7;3,7
4;11;Jarrett Allen;C;20;BRK;80;80;26,2;4,2;7,1;0,59;0,1;0,6;0,133;4,1;6,5;0,629;0,595;2,5;3,5;0,709;2,4;6;8,4;1,4;0,5;1,5;1,3;2,3;10,9
5;17;Ike Anigbogu;C;20;IND;3;0;2;0;1;0;0;0;NA;0;1;0;0;0;0;NA;0,3;0,7;1;0,3;0;0,3;0,3;0;0
6;19;Kostas Antetokounmpo;PF;21;DAL;2;0;5,5;0;1,5;0;0;0;NA;0;1,5;0;0;1;2;0,5;0;0,5;0,5;0;1;0;0,5;0;1
7;21;OG Anunoby;SF;21;TOR;67;6;20,2;2,7;6;0,453;1;3;0,332;1,7;3;0,574;0,536;0,5;0,9;0,581;0,9;2,1;2,9;0,7;0,7;0,3;0,8;2,1;7
8;25;Deandre Ayton;C;20;PHO;71;70;30,7;7,2;12,3;0,585;0;0,1;0;7,2;12,2;0,588;0,585;2;2,7;0,746;3,1;7,1;10,3;1,8;0,9;0,9;1,8;2,9;16,3
9;27;Marvin Bagley III;PF;19;SAC;62;4;25,3;5,7;11,4;0,504;0,5;1,5;0,313;5,3;9,8;0,534;0,525;2,9;4,2;0,691;2,6;5;7,6;1;0,5;1;1,6;1,9;14,9
10;30;Lonzo Ball;PG;21;LAL;47;45;30,3;3,9;9,7;0,406;1,6;4,9;0,329;2,3;4,9;0,482;0,488;0,4;1;0,417;1,1;4,2;5,3;5,4;1,5;0,4;2,2;2,4;9,9
11;31;Mo Bamba;C;20;ORL;47;1;16,3;2,5;5,2;0,481;0,4;1,5;0,3;2;3,7;0,555;0,525;0,8;1,3;0,587;1,4;3,6;5;0,8;0,3;1,4;0,9;2,2;6,2
12;46;Dragan Bender;PF;21;PHO;46;27;18;1,9;4,3;0,447;0,5;2,2;0,218;1,4;2,1;0,688;0,503;0,7;1,2;0,593;0,7;3,2;4;1,2;0,4;0,5;0,8;2;5
13;60;Isaac Bonga;PG;19;LAL;22;0;5,5;0,2;1,5;0,152;0;0,4;0;0,2;1,1;0,2;0,152;0,4;0,7;0,6;0,4;0,7;1,1;0,7;0,4;0,2;0,3;0,4;0,9
14;64;Tony Bradley;C;21;UTA;3;0;12;2,7;5,3;0,5;0;0;NA;2,7;5,3;0,5;0,5;0,3;0,7;0,5;3;2;5;0,3;0,7;0,7;1;2;5,7
15;67;Miles Bridges;SF;20;CHO;80;25;21,2;3;6,4;0,464;0,8;2,5;0,325;2,2;3,9;0,553;0,527;0,7;1;0,753;0,8;3,2;4;1,2;0,7;0,6;0,6;1,4;7,5
16;77;Troy Brown Jr.;SF;19;WAS;52;10;14;1,9;4,5;0,415;0,4;1,3;0,319;1,4;3,2;0,455;0,462;0,6;0,9;0,681;0,7;2,1;2,8;1,5;0,4;0,1;0,6;1,1;4,8
17;79;Thomas Bryant;C;21;WAS;72;53;20,8;4,3;7;0,616;0,5;1,4;0,333;3,8;5,6;0,685;0,648;1,5;1,9;0,781;1,6;4,7;6,3;1,3;0,3;0,9;0,8;1,8;10,5
